genes	class	species
Rpl7	ribosome	mice
Rpl31	ribosome	mice
Rpl37a	ribosome	mice
Rpl7a	ribosome	mice
Rpl12	ribosome	mice
Rpl35	ribosome	mice
Rpl39	ribosome	mice
Rpl10	ribosome	mice
Rpl36a	ribosome	mice
Rpl22l1	ribosome	mice
Rpl34	ribosome	mice
Rpl11	ribosome	mice
Rpl22	ribosome	mice
Rpl9	ribosome	mice
Rpl5	ribosome	mice
Rplp0	ribosome	mice
Rpl6	ribosome	mice
Rpl21	ribosome	mice
Rpl32	ribosome	mice
Rpl28	ribosome	mice
Rpl13a	ribosome	mice
Rpl18	ribosome	mice
Rpl27a	ribosome	mice
Rplp2	ribosome	mice
Rpl6l	ribosome	mice
Rpl41	ribosome	mice
Rpl18a	ribosome	mice
Rpl13	ribosome	mice
Rpl21-ps4	ribosome	mice
Rpl15	ribosome	mice
Rpl23a-ps3	ribosome	mice
Rpl13-ps3	ribosome	mice
Rpl10-ps3	ribosome	mice
Rplp1	ribosome	mice
Rpl4	ribosome	mice
Rpl29	ribosome	mice
Rpl14	ribosome	mice
Rpl26	ribosome	mice
Rpl23a	ribosome	mice
Rpl9-ps1	ribosome	mice
Rpl23	ribosome	mice
Rpl19	ribosome	mice
Rpl27	ribosome	mice
Rpl38	ribosome	mice
Rpl36-ps3	ribosome	mice
Rpl10l	ribosome	mice
Rpl36al	ribosome	mice
Rpl37	ribosome	mice
Rpl30	ribosome	mice
Rpl7a-ps3	ribosome	mice
Rpl8	ribosome	mice
Rpl3	ribosome	mice
Rpl39l	ribosome	mice
Rpl35a	ribosome	mice
Rpl24	ribosome	mice
Rpl3l	ribosome	mice
Rpl10a	ribosome	mice
Rpl7l1	ribosome	mice
Rpl36	ribosome	mice
Rpl7a-ps5	ribosome	mice
Rpl36-ps4	ribosome	mice
Rpl27-ps3	ribosome	mice
Rpl17	ribosome	mice
Rpl9-ps6	ribosome	mice
Rpl13a-ps1	ribosome	mice
Rps6kc1	ribosome	mice
Rps21	ribosome	mice
Rps4x	ribosome	mice
Rps6ka6	ribosome	mice
Rps6ka3	ribosome	mice
Rps3a1	ribosome	mice
Rps27	ribosome	mice
Rps20	ribosome	mice
Rps6	ribosome	mice
Rps8	ribosome	mice
Rps6ka1	ribosome	mice
Rps9	ribosome	mice
Rps5	ribosome	mice
Rps19	ribosome	mice
Rps16	ribosome	mice
Rps11	ribosome	mice
Rps17	ribosome	mice
Rps3	ribosome	mice
Rps13	ribosome	mice
Rps15a	ribosome	mice
Rps12	ribosome	mice
Rps15	ribosome	mice
Rps26	ribosome	mice
Rps18-ps3	ribosome	mice
Rps26-ps1	ribosome	mice
Rps24	ribosome	mice
Rps2-ps6	ribosome	mice
Rps25	ribosome	mice
Rps27l	ribosome	mice
Rps27rt	ribosome	mice
Rpsa	ribosome	mice
Rps27a	ribosome	mice
Rps6kb1	ribosome	mice
Rps23	ribosome	mice
Rps7	ribosome	mice
Rps29	ribosome	mice
Rps6kl1	ribosome	mice
Rps6ka5	ribosome	mice
Rps19bp1	ribosome	mice
Rps6ka2	ribosome	mice
Rps2	ribosome	mice
Rps10	ribosome	mice
Rps28	ribosome	mice
Rps18	ribosome	mice
Rps14	ribosome	mice
Rps6kb2	ribosome	mice
Rps6ka4	ribosome	mice
Rps12-ps3	ribosome	mice
Gm1992	predict_gene_Gm	mice
Gm37381	predict_gene_Gm	mice
Gm37323	predict_gene_Gm	mice
Gm37988	predict_gene_Gm	mice
Gm16041	predict_gene_Gm	mice
Gm26901	predict_gene_Gm	mice
Gm30414	predict_gene_Gm	mice
Gm29520	predict_gene_Gm	mice
Gm15818	predict_gene_Gm	mice
Gm17644	predict_gene_Gm	mice
Gm29663	predict_gene_Gm	mice
Gm29283	predict_gene_Gm	mice
Gm29570	predict_gene_Gm	mice
Gm9947	predict_gene_Gm	mice
Gm28095	predict_gene_Gm	mice
Gm7568	predict_gene_Gm	mice
Gm28376	predict_gene_Gm	mice
Gm28783	predict_gene_Gm	mice
Gm28784	predict_gene_Gm	mice
Gm28154	predict_gene_Gm	mice
Gm16070	predict_gene_Gm	mice
Gm28153	predict_gene_Gm	mice
Gm29006	predict_gene_Gm	mice
Gm15825	predict_gene_Gm	mice
Gm28340	predict_gene_Gm	mice
Gm28653	predict_gene_Gm	mice
Gm28065	predict_gene_Gm	mice
Gm28287	predict_gene_Gm	mice
Gm28836	predict_gene_Gm	mice
Gm26580	predict_gene_Gm	mice
Gm27028	predict_gene_Gm	mice
Gm29107	predict_gene_Gm	mice
Gm28822	predict_gene_Gm	mice
Gm28237	predict_gene_Gm	mice
Gm29414	predict_gene_Gm	mice
Gm5524	predict_gene_Gm	mice
Gm597	predict_gene_Gm	mice
Gm9898	predict_gene_Gm	mice
Gm29669	predict_gene_Gm	mice
Gm28644	predict_gene_Gm	mice
Gm29128	predict_gene_Gm	mice
Gm5415	predict_gene_Gm	mice
Gm37724	predict_gene_Gm	mice
Gm37591	predict_gene_Gm	mice
Gm37958	predict_gene_Gm	mice
