	0
MIR1302-2HG	MIR1302-2HG
FAM138A	FAM138A
OR4F5	OR4F5
AL627309.1	AL627309.1
AL627309.3	AL627309.3
AL627309.2	AL627309.2
AL627309.4	AL627309.4
AL732372.1	AL732372.1
OR4F29	OR4F29
AC114498.1	AC114498.1
OR4F16	OR4F16
AL669831.2	AL669831.2
AL669831.5	AL669831.5
FAM87B	FAM87B
LINC00115	LINC00115
FAM41C	FAM41C
AL645608.7	AL645608.7
AL645608.3	AL645608.3
AL645608.5	AL645608.5
AL645608.1	AL645608.1
SAMD11	SAMD11
NOC2L	NOC2L
KLHL17	KLHL17
PLEKHN1	PLEKHN1
PERM1	PERM1
AL645608.8	AL645608.8
HES4	HES4
ISG15	ISG15
AL645608.2	AL645608.2
AGRN	AGRN
AL645608.9	AL645608.9
RNF223	RNF223
C1orf159	C1orf159
LINC01342	LINC01342
AL390719.2	AL390719.2
TTLL10-AS1	TTLL10-AS1
TTLL10	TTLL10
TNFRSF18	TNFRSF18
TNFRSF4	TNFRSF4
SDF4	SDF4
B3GALT6	B3GALT6
C1QTNF12	C1QTNF12
AL162741.1	AL162741.1
UBE2J2	UBE2J2
LINC01786	LINC01786
SCNN1D	SCNN1D
ACAP3	ACAP3
PUSL1	PUSL1
INTS11	INTS11
CPTP	CPTP
TAS1R3	TAS1R3
DVL1	DVL1
MXRA8	MXRA8
AURKAIP1	AURKAIP1
CCNL2	CCNL2
MRPL20	MRPL20
AL391244.3	AL391244.3
ANKRD65	ANKRD65
AL391244.2	AL391244.2
TMEM88B	TMEM88B
LINC01770	LINC01770
VWA1	VWA1
ATAD3C	ATAD3C
ATAD3B	ATAD3B
ATAD3A	ATAD3A
TMEM240	TMEM240
SSU72	SSU72
AL645728.1	AL645728.1
FNDC10	FNDC10
AL691432.2	AL691432.2
MIB2	MIB2
MMP23B	MMP23B
CDK11B	CDK11B
FO704657.1	FO704657.1
SLC35E2B	SLC35E2B
CDK11A	CDK11A
SLC35E2A	SLC35E2A
NADK	NADK
GNB1	GNB1
AL109917.1	AL109917.1
CALML6	CALML6
TMEM52	TMEM52
CFAP74	CFAP74
AL391845.2	AL391845.2
GABRD	GABRD
AL391845.1	AL391845.1
PRKCZ	PRKCZ
AL590822.2	AL590822.2
PRKCZ-AS1	PRKCZ-AS1
FAAP20	FAAP20
AL590822.1	AL590822.1
SKI	SKI
MORN1	MORN1
RER1	RER1
PEX10	PEX10
PLCH2	PLCH2
AL139246.1	AL139246.1
AL139246.4	AL139246.4
PANK4	PANK4
HES5	HES5
AL139246.5	AL139246.5
TNFRSF14-AS1	TNFRSF14-AS1
TNFRSF14	TNFRSF14
AL139246.3	AL139246.3
FAM213B	FAM213B
MMEL1	MMEL1
AL831784.1	AL831784.1
TTC34	TTC34
AC242022.1	AC242022.1
AL592464.2	AL592464.2
AL592464.1	AL592464.1
AL589702.1	AL589702.1
ACTRT2	ACTRT2
LINC00982	LINC00982
PRDM16	PRDM16
AL008733.1	AL008733.1
AL590438.1	AL590438.1
ARHGEF16	ARHGEF16
AL512413.1	AL512413.1
MEGF6	MEGF6
AL513320.1	AL513320.1
TPRG1L	TPRG1L
WRAP73	WRAP73
TP73	TP73
AL136528.1	AL136528.1
AL136528.2	AL136528.2
CCDC27	CCDC27
SMIM1	SMIM1
LRRC47	LRRC47
AL365330.1	AL365330.1
CEP104	CEP104
DFFB	DFFB
C1orf174	C1orf174
LINC01134	LINC01134
LINC01346	LINC01346
LINC01345	LINC01345
AL805961.1	AL805961.1
AL805961.2	AL805961.2
LINC01777	LINC01777
AL355602.1	AL355602.1
Z98747.1	Z98747.1
LINC01646	LINC01646
AJAP1	AJAP1
BX005132.2	BX005132.2
BX005132.1	BX005132.1
AL691497.1	AL691497.1
AL139823.1	AL139823.1
Z98259.3	Z98259.3
Z98259.2	Z98259.2
Z98259.1	Z98259.1
AL365255.1	AL365255.1
NPHP4	NPHP4
KCNAB2	KCNAB2
CHD5	CHD5
RPL22	RPL22
AL031847.1	AL031847.1
